danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri
0.676,0.85,1,-12.228,1,0.0441,0.001,0.66,0.279,0.0892,119.997,audio_features,spotify:track:52L7fjH7wVsmOmeGHI6rJx
0.84,0.582,1,-6.312,1,0.0563,0.00868,0.73,0.066,0.836,124.02,audio_features,spotify:track:6aJx9QL88iQehUBppdxIhz
0.686,0.882,6,-8.747,0,0.0505,0.0495,0.048,0.387,0.941,128.206,audio_features,spotify:track:0lBBeLWPnd4gJujY8jSOOJ
0.885,0.518,9,-9.249,0,0.0887,0.468,0.00165,0.0999,0.524,108.993,audio_features,spotify:track:2afK7FH9DWHYMqltxqf7IT
0.808,0.521,8,-9.381,1,0.168,0.123,0.906,0.336,0.765,120.021,audio_features,spotify:track:5N720bYInxSsiUDvBOLM3C
0.766,0.544,8,-10.651,0,0.067,0.146,0.336,0.0929,0.64,120.014,audio_features,spotify:track:0gwoz2c2l6d75YDVNGo6kv
0.709,0.868,5,-8.882,1,0.0475,0.0154,0.863,0.1,0.456,126.986,audio_features,spotify:track:6yZC5KpHGx9P7desCuxeI7
0.658,0.525,2,-10.368,0,0.0632,0.516,0.0,0.0936,0.836,174.16,audio_features,spotify:track:3zLQtoEeXA6Lr1sNrbyYbs
0.74,0.854,2,-5.341,1,0.056,0.0291,0.000174,0.106,0.935,111.969,audio_features,spotify:track:39zrVbRvAjw1FbKaK64NTZ
0.711,0.927,2,-8.194,1,0.0374,0.00046,0.832,0.0506,0.46,132.029,audio_features,spotify:track:7AkuWVEfviEjaNa8ps3uVw
0.865,0.762,0,-7.444,1,0.0762,0.0166,0.795,0.0233,0.896,118.005,audio_features,spotify:track:3ceihRUljV1eSM1plIjsB6
0.668,0.878,5,-7.538,1,0.0472,0.015,0.554,0.146,0.655,122.006,audio_features,spotify:track:1tTwnpx4TvhnTAzBjFditv
0.793,0.703,0,-9.548,1,0.0581,0.000726,0.88,0.075,0.856,130.27,audio_features,spotify:track:1RSy7B2vfPi84N80QJ6frX
0.742,0.965,1,-8.291,0,0.0538,0.00011,0.607,0.0703,0.387,123.04,audio_features,spotify:track:5rvxnkF2JQPk2U5uAibTF9
0.708,0.81,0,-7.682,1,0.0332,0.000125,0.646,0.124,0.436,123.032,audio_features,spotify:track:0dnyEpWFsxHBgSJiCMRqUg
0.772,0.735,5,-7.705,0,0.0402,0.118,0.000396,0.0494,0.845,119.229,audio_features,spotify:track:2UxQ5ZcEfXjMwIqZPdtUXY
0.771,0.867,3,-3.67,1,0.0506,0.00418,0.811,0.131,0.874,123.017,audio_features,spotify:track:24nRAwz24SxmVKPdptmcaI
0.702,0.737,0,-4.978,1,0.0911,0.0178,0.00246,0.133,0.474,129.028,audio_features,spotify:track:0Oivk8DdbsK8ul74lFwmVt
0.812,0.695,1,-9.022,1,0.0581,0.0024,0.9,0.0823,0.648,122.0,audio_features,spotify:track:5x0PjvPbVqowzeXpsjCkO3
0.797,0.79,2,-10.45,1,0.0513,0.000707,0.922,0.11,0.425,125.952,audio_features,spotify:track:1fW2fuBTVBfeYraVHLQbtl
0.84,0.566,11,-7.164,0,0.0448,0.00506,0.44,0.101,0.723,117.991,audio_features,spotify:track:4Noq0kesyOwbyLLQcg3qYW
0.931,0.545,4,-5.211,1,0.114,0.0031,0.081,0.0934,0.963,123.865,audio_features,spotify:track:37f678FF9hVDm1PdCzk6we
0.657,0.853,0,-8.36,1,0.118,0.183,0.00014,0.109,0.22,109.88,audio_features,spotify:track:1UugNeXATVn1iEfuWsEyDz
0.664,0.838,2,-6.202,1,0.0321,0.00691,0.748,0.0275,0.749,96.667,audio_features,spotify:track:1P4qbA8TUY7Nxu313n6Lz4
0.804,0.986,4,-7.704,0,0.0476,0.000184,0.89,0.0513,0.364,127.008,audio_features,spotify:track:7qds3ukybgmPQwtbKIKvgJ
0.808,0.987,6,-6.268,1,0.0417,0.00141,0.759,0.0649,0.522,125.987,audio_features,spotify:track:408MwnskWhBTY7CFYnqdXP
0.772,0.694,8,-6.685,0,0.0558,0.0333,0.91,0.037,0.5,116.012,audio_features,spotify:track:1w1Y3ZFmcB1JbNm5QJxws0
