title;artist;album;isrc;addedDate;addedBy;duration;url
Gloria;"Laura Branigan";"The Best of Branigan";USAT28400033;"2020-07-05 00:28";1218037846;295s;https://open.spotify.com/track/15ob9SMGLWrexuPuyuMjKl
"Paris Is Burning";Ladyhawke;Ladyhawke;GBUM70808467;"2020-07-05 00:28";1218037846;229s;https://open.spotify.com/track/56Y3RbWAzciF44Rua5Q2K9
"Horny - Radio Slave and Thomas Gandy Just 17 Mix";"Mousse T., Radio Slave, Thomas Gandy";"Horny (Radio Slave and Thomas Gandey Remixes)";DEP081100078;"2020-07-05 00:29";1218037846;475s;https://open.spotify.com/track/1RUPwddr2YjOWsK2kQtrEA
"Hold On";"French 79";"Hold On";FRR641900565;"2020-07-05 00:30";1218037846;256s;https://open.spotify.com/track/49pnpUiVikrlH8Wiq6ik8k
Olympic;"French 79";Olympic;FR9W11161071;"2020-07-05 00:30";1218037846;296s;https://open.spotify.com/track/5HCYfovH50URGDvpfH571V
"Life Is A Song Worth Singing - Jamie Jones Remix";"Teddy Pendergrass, Jamie Jones";"Life Is A Song Worth Singing (Jamie Jones Remix)";USSM11901013;"2020-07-05 00:31";1218037846;530s;https://open.spotify.com/track/2CYDr6tzDTkxtN6qXTJCzC
Inox;"Parasol Stars";"Ibiza 2017";GBKQU1204049;"2020-07-05 00:31";1218037846;399s;https://open.spotify.com/track/7pcAHct89LesTnfo8e6blK
"Juice - Breakbot Mix";"Lizzo, Breakbot";"Juice (Breakbot Mix)";USAT21902718;"2020-07-05 00:33";1218037846;172s;https://open.spotify.com/track/47OnQIAx7QHkm1SbfXcjfP
"The Juice";"Mr. Fingers";"DJ-Kicks (Motor City Drum Ensemble) [Mixed Tracks]";US4G90400335;"2020-07-05 00:33";1218037846;153s;https://open.spotify.com/track/3t8hniC26RU5WgDO0a5gIF
"Ritual Union";"Little Dragon";"Ritual Union";GBEWK1100037;"2020-07-05 00:34";1218037846;210s;https://open.spotify.com/track/5uTjNzGKCQ50synrf9dWmT
"You Gonna Want Me";Tiga;Sexor;BEP010500128;"2020-07-05 00:38";1218037846;240s;https://open.spotify.com/track/1Sf6e93VZW3ldIogonAiVi
Physical;"Olivia Newton-John";Physical;USMC18112103;"2020-07-05 00:38";1218037846;225s;https://open.spotify.com/track/3hVrI7snZMTmHCnbwME47u
"Mountains of Es Cubells";Magdalena;"Elementum EP";DEDH71800016;"2020-07-05 00:38";1218037846;326s;https://open.spotify.com/track/52L7fjH7wVsmOmeGHI6rJx
"I Got It";"Walker & Royce";"I Surrender";GBPQS1200049;"2020-07-05 00:38";1218037846;441s;https://open.spotify.com/track/6aJx9QL88iQehUBppdxIhz
"You Spin Me Round (Like a Record) - Performance Mix";"Dead Or Alive";Youthquake;GBBBM8502018;"2020-07-05 00:40";1218037846;445s;https://open.spotify.com/track/0lBBeLWPnd4gJujY8jSOOJ
"Don't Matter";"Cherokee, Darianna Everett";"Don't Matter";FR9W11313996;"2020-07-05 00:41";1218037846;308s;https://open.spotify.com/track/2afK7FH9DWHYMqltxqf7IT
"What's a Girl to Do";"Fatima Yamaha";"A Girl Between Two Worlds";NLW041200326;"2020-07-05 00:41";1218037846;447s;https://open.spotify.com/track/5N720bYInxSsiUDvBOLM3C
"Disco Gnome - Tale Of Us Remix";"Thugfucker, Tale Of Us";"Disco Gnome";DEU671002279;"2020-07-05 00:41";1218037846;506s;https://open.spotify.com/track/0gwoz2c2l6d75YDVNGo6kv
"New Love - Club Mix";"Catz 'n Dogz";"New Love";PLE071910002;"2020-07-05 00:41";1218037846;424s;https://open.spotify.com/track/6yZC5KpHGx9P7desCuxeI7
"Si Una Vez";Selena;"Amor Prohibido";USEL19400019;"2020-07-05 00:42";1218037846;167s;https://open.spotify.com/track/3zLQtoEeXA6Lr1sNrbyYbs
"Sexual - Oliver Nelson Remix / Radio Edit";"NEIKED, Dyo, Oliver Nelson";Sexual;GBUM71605650;"2020-07-05 00:43";1218037846;201s;https://open.spotify.com/track/39zrVbRvAjw1FbKaK64NTZ
Sizzling;"Daphni, Paradise";"Sizzling EP";FRIDO1910953;"2020-07-05 00:43";1218037846;322s;https://open.spotify.com/track/7AkuWVEfviEjaNa8ps3uVw
"Lover Chanting - Edit";"Little Dragon";"Lover Chanting (Jayda G Remix)";GBCFB1800261;"2020-07-05 00:43";1218037846;205s;https://open.spotify.com/track/3ceihRUljV1eSM1plIjsB6
"Mirrors (feat. Jasnau)";"Lauer, Jasnau";Power;DEVY91800110;"2020-07-05 00:43";1218037846;258s;https://open.spotify.com/track/1tTwnpx4TvhnTAzBjFditv
"Blue Monday - 2016 Remaster";"New Order";"Singles (2016 Remaster)";GBAAP1500066;"2020-07-05 00:48";1218037846;451s;https://open.spotify.com/track/1RSy7B2vfPi84N80QJ6frX
"Spacer Woman - Vocal Version";Charlie;"The Best of Electro 80, Vol. 1";ITC899000009;"2020-07-05 00:48";1218037846;449s;https://open.spotify.com/track/5rvxnkF2JQPk2U5uAibTF9
"It'll All Be Over - DJ Koze Remix";"Gerry Read, DJ Koze";"It'll All Be Over";DEMM11900016;"2020-07-05 00:48";1218037846;301s;https://open.spotify.com/track/0dnyEpWFsxHBgSJiCMRqUg
"Heat You Up (Melt You Down) - Vocal";"Shirley Lites";"Heat You Up (Melt You Down)";USZUR0601010;"2020-07-05 00:50";1218037846;419s;https://open.spotify.com/track/2UxQ5ZcEfXjMwIqZPdtUXY
"Must Be Love";"Yung Bae";"Bae 5";GBKPL1952527;"2020-07-05 00:50";1218037846;181s;https://open.spotify.com/track/24nRAwz24SxmVKPdptmcaI
"The Look - Fred Falke Remix";Metronomy;"The Look";GBMVH1100120;"2020-07-05 00:51";1218037846;436s;https://open.spotify.com/track/0Oivk8DdbsK8ul74lFwmVt
"Paris Madness";Samaran;"Paris Madness";US5ED1800065;"2020-07-05 00:51";1218037846;197s;https://open.spotify.com/track/5x0PjvPbVqowzeXpsjCkO3
"The Looping Generation";"John Tejada";"Dead Start Program";DEU671800006;"2020-07-05 00:51";1218037846;276s;https://open.spotify.com/track/1fW2fuBTVBfeYraVHLQbtl
"Love Invaders";"Fatima Yamaha";"Imaginary Lines";NLW041500567;"2020-07-05 00:51";1218037846;410s;https://open.spotify.com/track/4Noq0kesyOwbyLLQcg3qYW
"Everybody Be Somebody 2014 - Original Mix (2014 Remaster)";"Ruffneck, Yavahn";"Everybody Be Somebody 2014";USE1R1440104;"2020-07-05 00:52";1218037846;556s;https://open.spotify.com/track/37f678FF9hVDm1PdCzk6we
"How We Feel";Panama;"Always EP (Deluxe Edition)";QMCE31400009;"2020-07-05 00:53";1218037846;243s;https://open.spotify.com/track/1UugNeXATVn1iEfuWsEyDz
Feather;"Little Dragon";"Machine Dreams";GBEWK0900007;"2020-07-05 00:53";1218037846;294s;https://open.spotify.com/track/1P4qbA8TUY7Nxu313n6Lz4
"Bad Speech";"Blackchild (ITA)";"Carnival 2019";DEH741900497;"2020-07-05 00:53";1218037846;454s;https://open.spotify.com/track/7qds3ukybgmPQwtbKIKvgJ
"Gucci Panties";"Franklyn Watts, CAT";"Dirtybird Miami 2019";GBKQU1916499;"2020-07-05 00:53";1218037846;398s;https://open.spotify.com/track/408MwnskWhBTY7CFYnqdXP
"Mink & Shoes - Dub Mix";Psychemagik;"Mink & Shoes";GBGJ51500002;"2020-07-05 00:54";1218037846;445s;https://open.spotify.com/track/1w1Y3ZFmcB1JbNm5QJxws0
"Along Came Polly - Original Mix";Rebūke;"Along Came Polly";GBK6Y1812601;"2020-07-05 00:54";1218037846;389s;https://open.spotify.com/track/4cTIFTmacy3vyi5A5F3YeD
Outrageous;"Oliver Nelson, Tobtok";Outrageous;UK4ZF1900003;"2020-07-05 00:55";1218037846;328s;https://open.spotify.com/track/5GxzwIut9sNiCTiQJfCLSR
"How Does It Feel";"Roger That (UK)";"How Does It Feel";GBHAD1801263;"2020-07-05 00:55";1218037846;186s;https://open.spotify.com/track/75tcofVJFPhehlfnEwqiuV
"High Come Down";"Chico & Coolwadda";"Wild N' Tha West";USMC10110937;"2020-07-05 00:55";1218037846;257s;https://open.spotify.com/track/4gc19xZ8SvONdW6ZVHlYSO
"Credit Card (Gay Marvine Remix) - Mixed";"BMG, Sal P, Gay Marvine";"Detroit Love Vol. 2 (DJ Mix)";DEG931992231;"2020-07-05 00:56";1218037846;325s;https://open.spotify.com/track/7DzjqZH47oKP3o6Pj1sQrR
"On Your Way";"Omar S, Diviniti";"The Best!";QM6N21778459;"2020-07-05 00:57";1218037846;478s;https://open.spotify.com/track/1Txy239Azz9buzEQ9034kF
"Monte Carlo";Mercer;"Neo Disco EP";USNRS1836979;"2020-07-05 00:57";1218037846;296s;https://open.spotify.com/track/7j65181rWNroAwZakfm1s4
"Blue Tuesday";Delphi;"Unleashed Tapes Vol. 1";DETB31646041;"2020-07-05 00:59";1218037846;385s;https://open.spotify.com/track/2tFz3AlZ1GUacsccZgo2Mt
Reeves;"Andhim, Super Flu";Reeves;DET751200029;"2020-07-05 00:59";1218037846;534s;https://open.spotify.com/track/27gn9CFe0AphGFGLR8sSym
"In A Dream - Original Mix";Rockell;"What Are You Lookin' At?";USRE59800049;"2020-07-05 01:00";1218037846;242s;https://open.spotify.com/track/4Xf27f2BIY6FmvifqxQ7RD
"Journal of Ardency";"Class Actress";"Journal of Ardency";US7S60900008;"2020-07-05 01:00";1218037846;225s;https://open.spotify.com/track/6sbOGldEofWsQlq1GjdHJK
"Some Acid";"Gerome Sportelli";"Acid Krax Vol. 3";BEF211400002;"2020-07-05 01:02";1218037846;395s;https://open.spotify.com/track/0F4Q4Gkpy1rm4qC9oYteTe
"Calling Out (feat. Dames Brown) - 12"" Mix";"Sophie Lloyd, Dames Brown";"Calling Out (feat. Dames Brown) [12"" Mix]";GBCPZ1712540;"2020-07-05 01:03";1218037846;478s;https://open.spotify.com/track/6nfYXTZfmJMM56AfTV4mF4
"Drop It";CamelPhat;"Monsters EP";GBJAJ1700983;"2020-07-05 01:04";1218037846;187s;https://open.spotify.com/track/2Tax5xK7RwwpnZOss6HmvD
Vie!;ZDS;"Hot Ticket, Vol. 3";GB6NC0800071;"2020-07-05 01:06";1218037846;350s;https://open.spotify.com/track/4zaoon91ISbBglXsZL63XM
